person_number,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9
A00001,4,1,4,1,4,3,3,1,4
A00002,2,1,1,2,2,2,2,3,2
A00003,3,1,3,1,3,4,3,1,4
A00004,3,1,3,1,3,4,3,1,3
A00005,4,1,3,1,3,3,3,1,3
A00006,4,1,3,1,4,3,4,1,4
A00007,2,1,1,2,1,1,2,2,2
A00008,4,1,3,1,3,4,3,1,4
A00009,1,1,2,2,1,1,2,2,1
A00010,2,1,2,1,1,1,1,4,1
A00011,4,1,3,1,4,4,3,1,4
A00012,4,1,4,1,4,3,4,1,3
A00013,2,1,2,1,1,1,1,5,1
A00014,4,1,3,1,3,3,4,1,3
A00015,4,1,3,1,3,4,4,1,3
A00016,4,1,4,1,4,4,4,1,4
A00017,4,1,4,1,3,3,4,1,3
A00018,3,1,3,1,4,3,3,1,4
A00019,4,1,4,1,4,4,4,1,4
A00020,1,1,1,1,1,1,2,3,1
A00021,2,1,3,1,1,1,1,5,1
A00022,2,1,3,1,1,1,1,4,1
A00023,1,1,1,1,1,1,2,3,1
A00024,1,1,3,1,1,1,1,4,1
A00025,1,1,2,3,2,1,1,2,1
A00026,1,1,3,1,1,1,1,4,1
A00027,1,1,3,1,1,1,1,4,1
A00028,4,1,4,1,3,3,3,1,3
A00029,1,1,3,1,1,1,1,4,1
A00030,3,1,4,1,4,4,3,1,3
A00031,2,1,1,1,1,1,2,3,1
A00032,2,1,1,1,1,1,1,2,2
A00033,3,1,3,1,4,3,4,1,3
A00034,3,1,4,1,3,4,3,1,4
A00035,1,1,2,3,2,1,2,3,1
A00036,1,1,3,1,1,1,1,5,1
A00037,4,1,4,1,4,3,3,1,4
A00038,4,1,3,1,4,4,4,1,3
A00039,2,1,1,3,1,2,1,3,2
A00040,1,1,1,1,1,1,1,2,1
A00041,2,1,2,1,1,1,1,5,1
A00042,2,1,1,2,2,1,1,3,2
A00043,4,1,4,1,3,4,4,1,3
A00044,4,1,3,1,3,3,3,1,3
A00045,1,1,3,1,1,1,1,4,1
A00046,3,1,4,1,3,4,3,1,3
A00047,4,1,4,1,4,4,3,1,4
A00048,4,1,3,1,3,3,4,1,4
A00049,3,1,3,1,4,4,4,1,3
A00050,1,1,1,1,1,1,2,3,1
A00051,1,1,1,1,1,1,2,3,1
A00052,3,1,3,1,3,3,3,1,4
A00053,4,1,3,1,3,4,3,1,3
A00054,3,1,3,1,3,4,4,1,4
A00055,4,1,3,1,4,3,4,1,4
A00056,4,1,3,1,3,4,3,1,4
A00057,3,1,4,1,3,4,3,1,3
A00058,1,1,2,1,1,1,1,5,1
A00059,1,1,1,2,2,1,1,3,1
A00060,4,1,4,1,3,4,3,1,4
A00061,4,1,4,1,4,3,3,1,3
A00062,3,1,3,1,4,4,3,1,4
A00063,4,1,4,1,4,4,3,1,4
A00064,4,1,3,1,3,3,4,1,4
A00065,3,1,3,1,4,4,3,1,4
A00066,4,1,3,1,3,3,3,1,3
A00067,4,1,3,1,4,3,4,1,4
A00068,4,1,3,1,3,4,3,1,4
A00069,4,1,4,1,4,4,3,1,4
A00070,2,1,2,2,1,2,2,2,2
A00071,1,1,1,1,1,1,1,2,1
A00072,1,1,1,3,1,2,2,2,1
A00073,2,1,2,1,1,1,1,4,1
A00074,4,1,3,1,4,4,4,1,3
A00075,1,1,1,1,1,1,1,3,1
A00076,3,1,4,1,4,3,4,1,4
A00077,1,1,3,1,1,1,1,4,1
A00078,3,1,3,1,3,3,4,1,3
A00079,1,1,1,3,1,1,1,3,2
A00080,4,1,3,1,3,3,4,1,3
A00081,3,1,3,1,3,4,3,1,4
