person_number,year,walk
A00001,1,attend
A00001,2,NotAttend
A00001,3,NotAttend
A00001,4,NotAttend
A00001,5,attend
A00002,1,attend
A00002,2,NotAttend
A00002,3,NotAttend
A00002,4,NotAttend
A00002,5,NotAttend
A00003,1,attend
A00003,2,attend
A00003,3,NotAttend
A00003,4,NotAttend
A00003,5,NotAttend
A00004,1,attend
A00004,2,NotAttend
A00004,3,NotAttend
A00004,4,attend
A00004,5,NotAttend
A00005,1,NotAttend
A00005,2,attend
A00005,3,NotAttend
A00005,4,NotAttend
A00005,5,attend
A00006,1,attend
A00006,2,NotAttend
A00006,3,NotAttend
A00006,4,NotAttend
A00006,5,NotAttend
A00007,1,NotAttend
A00007,2,attend
A00007,3,NotAttend
A00007,4,NotAttend
A00007,5,NotAttend
A00008,1,NotAttend
A00008,2,attend
A00008,3,NotAttend
A00008,4,NotAttend
A00008,5,NotAttend
A00009,1,NotAttend
A00009,2,NotAttend
A00009,3,NotAttend
A00009,4,NotAttend
A00009,5,NotAttend
A00010,1,NotAttend
A00010,2,NotAttend
A00010,3,NotAttend
A00010,4,NotAttend
A00010,5,NotAttend
A00011,1,NotAttend
A00011,2,attend
A00011,3,NotAttend
A00011,4,NotAttend
A00011,5,NotAttend
A00012,1,attend
A00012,2,NotAttend
A00012,3,NotAttend
A00012,4,attend
A00012,5,NotAttend
A00013,1,attend
A00013,2,attend
A00013,3,attend
A00013,4,NotAttend
A00013,5,NotAttend
A00014,1,NotAttend
A00014,2,NotAttend
A00014,3,NotAttend
A00014,4,NotAttend
A00014,5,NotAttend
A00015,1,NotAttend
A00015,2,attend
A00015,3,NotAttend
A00015,4,NotAttend
A00015,5,attend
A00016,1,NotAttend
A00016,2,NotAttend
A00016,3,NotAttend
A00016,4,attend
A00016,5,NotAttend
A00017,1,attend
A00017,2,NotAttend
A00017,3,NotAttend
A00017,4,NotAttend
A00017,5,NotAttend
A00018,1,NotAttend
A00018,2,NotAttend
A00018,3,NotAttend
A00018,4,NotAttend
A00018,5,NotAttend
A00019,1,NotAttend
A00019,2,NotAttend
A00019,3,NotAttend
A00019,4,NotAttend
A00019,5,NotAttend
A00020,1,NotAttend
A00020,2,NotAttend
A00020,3,NotAttend
A00020,4,NotAttend
A00020,5,attend
A00021,1,NotAttend
A00021,2,NotAttend
A00021,3,NotAttend
A00021,4,attend
A00021,5,NotAttend
A00022,1,NotAttend
A00022,2,NotAttend
A00022,3,NotAttend
A00022,4,NotAttend
A00022,5,NotAttend
A00023,1,NotAttend
A00023,2,NotAttend
A00023,3,NotAttend
A00023,4,NotAttend
A00023,5,NotAttend
A00024,1,NotAttend
A00024,2,NotAttend
A00024,3,NotAttend
A00024,4,attend
A00024,5,attend
A00025,1,NotAttend
A00025,2,NotAttend
A00025,3,NotAttend
A00025,4,NotAttend
A00025,5,NotAttend
A00026,1,NotAttend
A00026,2,NotAttend
A00026,3,NotAttend
A00026,4,NotAttend
A00026,5,NotAttend
A00027,1,NotAttend
A00027,2,attend
A00027,3,NotAttend
A00027,4,NotAttend
A00027,5,NotAttend
A00028,1,attend
A00028,2,NotAttend
A00028,3,attend
A00028,4,NotAttend
A00028,5,NotAttend
