date,customer_id,region_id,region_preference_product,customer_estimated_product_adoption,customer_estimated_size,region_preference_competitor_1,region_preference_competitor_2,region_preference_competitor_3,region_preference_competitor_4,region_preference_competitor_5,region_preference_competitor_6,region_preference_competitor_7,number_of_days_since_last_promotion,promotional_activity_1,promotional_activity_2,region_teenager_percent,sales
01-01-19,1,1,1,High,Big,0,1,0,0,1,0,1,23,0,1,19.31934564,117
01-02-19,1,1,1,High,Big,0,1,0,0,1,0,1,51,0,0,19.31934564,113
01-03-19,1,1,1,High,Big,0,1,0,0,1,0,1,19,0,2,19.31934564,117
01-04-19,1,1,1,High,Big,0,1,0,0,1,0,1,21,0,1,19.31934564,117
01-05-19,1,1,1,High,Big,0,1,0,0,1,0,1,3,0,1,19.31934564,116
01-06-19,1,1,1,High,Big,0,1,0,0,1,0,1,33,0,0,19.31934564,119
01-07-19,1,1,1,High,Big,0,1,0,0,0,0,1,22,0,1,19.31934564,112
01-08-19,1,1,1,High,Big,0,1,0,0,0,0,1,53,0,0,19.31934564,114
01-09-19,1,1,1,High,Big,0,1,0,0,0,0,1,13,0,1,19.31934564,117
01-10-19,1,1,1,High,Big,0,1,0,0,0,0,1,44,0,0,19.31934564,115
01-11-19,1,1,1,High,Big,0,1,0,0,0,0,1,4,0,1,19.31934564,117
01-12-19,1,1,1,High,Big,0,1,0,0,0,0,1,14,0,2,19.31934564,118
01-01-20,1,1,1,High,Big,1,1,0,1,0,0,1,25,0,1,19.31934564,116
01-02-20,1,1,1,High,Big,1,1,0,1,0,0,1,2,0,2,19.31934564,115
01-01-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,8,1,2,8.806839814,107
01-02-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,6,1,1,8.806839814,104
01-03-19,2,2,0,,,0,0,0,0,1,0,0,37,0,0,8.806839814,107
01-04-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,27,1,1,8.806839814,110
01-05-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,24,1,1,8.806839814,105
01-06-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,12,1,2,8.806839814,104
01-07-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,43,1,0,8.806839814,107
